c;S;X;T;vol;rf
68.2;1921.42;2100;1.191780822;0.000659524;0.05
20.5;1948.51;2300;1.189041096;0.000579365;0.05
10.2;1981.01;2400;1.178082192;0.00052619;0.05
115.4;2030.57;2000;0.649315068;0.000689683;0.05
61.65;2089.99;2150;0.624657534;0.00054881;0.05
12.25;2089.99;2300;0.624657534;0.00044246;0.05
151.1;2089.99;2000;0.624657534;0.000653571;0.05
4.85;1921.42;2200;0.457534247;0.000525;0.05
27.35;1921.42;2075;0.457534247;0.000621429;0.05
1.45;2030.57;2300;0.438356164;0.000404762;0.05
0.475;2030.57;2350;0.438356164;0.000401984;0.05
38.35;2014.54;2100;0.435616438;0.000581746;0.05
88.85;2014.54;2000;0.435616438;0.000678175;0.05
19.45;2016.16;2150;0.42739726;0.000494841;0.05
76.75;1992.73;2000;0.421917808;0.000640079;0.05
974.5;1992.73;1000;0.421917808;0.000105159;0.05
19.75;2031.38;2150;0.408219178;0.000496032;0.05
8.55;2030.57;2200;0.405479452;0.000455159;0.05
32.3;2075.91;2150;0.397260274;0.000509127;0.05
9.45;2071.16;2225;0.389041096;0.000425794;0.05
66.05;2064.45;2075;0.38630137;0.000538889;0.05
37.55;2086.86;2150;0.383561644;0.000477778;0.05
63.3;2086.86;2100;0.383561644;0.000523016;0.05
49.65;2086.86;2125;0.383561644;0.000501984;0.05
7.75;2089.99;2250;0.380821918;0.000411111;0.05
15.9;2084.58;2200;0.378082192;0.000412698;0.05
1.7;2031.38;2250;0.356164384;0.000395635;0.05
23.15;2071.16;2150;0.309589041;0.000463492;0.05
15.2;2071.16;2175;0.309589041;0.000439683;0.05
25.55;1948.51;2050;0.282191781;0.000627381;0.05
103.55;1948.51;1900;0.282191781;0.000807143;0.05
34.9;1948.51;2025;0.282191781;0.000659127;0.05
34.45;1987.89;2050;0.273972603;0.000604365;0.05
14.35;1981.01;2100;0.271232877;0.000532937;0.05
18.35;1991.76;2100;0.268493151;0.000557937;0.05
56.4;1992.73;2000;0.249315068;0.000611905;0.05
8.6;1992.73;2125;0.249315068;0.000477778;0.05
12.3;2031.6;2130;0.243835616;0.000463889;0.05
21.55;1948.51;2050;0.24109589;0.000574206;0.05
0.675;2031.38;2240;0.235616438;0.000395238;0.05
6.3;2031.38;2150;0.235616438;0.000421032;0.05
11.65;2030.57;2125;0.232876712;0.000453571;0.05
62.05;2030.57;2015;0.232876712;0.000593254;0.05
19.25;2030.57;2100;0.232876712;0.000482937;0.05
5.1;2030.57;2160;0.232876712;0.000420238;0.05
1.05;1981.01;2200;0.230136986;0.000482937;0.05
50.85;2019.02;2025;0.230136986;0.000589683;0.05
70;2050.29;2025;0.22739726;0.00062381;0.05
8.8;2075.91;2175;0.224657534;0.000420635;0.05
15.3;2075.91;2150;0.224657534;0.000445238;0.05
24.4;2075.91;2125;0.224657534;0.000474603;0.05
2.25;2014.54;2180;0.221917808;0.000375;0.05
23;2071.16;2125;0.216438356;0.000465476;0.05
47.7;2071.16;2075;0.216438356;0.00052381;0.05
1.575;2071.16;2240;0.216438356;0.000385317;0.05
60.95;2064.45;2050;0.21369863;0.000546429;0.05
72.85;1921.42;1910;0.21369863;0.000777778;0.05
79.1;1921.42;1900;0.21369863;0.000788889;0.05
4.6;1921.42;2100;0.21369863;0.000551587;0.05
12.75;1921.42;2050;0.21369863;0.000602381;0.05
82.2;1921.42;1895;0.21369863;0.000794048;0.05
