c;S;X;T;vol;rf
68.2;1921.42;2100;435;0.000659524;0.000198413
20.5;1948.51;2300;434;0.000579365;0.000198413
10.2;1981.01;2400;430;0.00052619;0.000198413
115.4;2030.57;2000;237;0.000689683;0.000198413
61.65;2089.99;2150;228;0.00054881;0.000198413
12.25;2089.99;2300;228;0.00044246;0.000198413
151.1;2089.99;2000;228;0.000653571;0.000198413
4.85;1921.42;2200;167;0.000525;0.000198413
27.35;1921.42;2075;167;0.000621429;0.000198413
1.45;2030.57;2300;160;0.000404762;0.000198413
0.475;2030.57;2350;160;0.000401984;0.000198413
38.35;2014.54;2100;159;0.000581746;0.000198413
88.85;2014.54;2000;159;0.000678175;0.000198413
19.45;2016.16;2150;156;0.000494841;0.000198413
76.75;1992.73;2000;154;0.000640079;0.000198413
974.5;1992.73;1000;154;0.000105159;0.000198413
19.75;2031.38;2150;149;0.000496032;0.000198413
8.55;2030.57;2200;148;0.000455159;0.000198413
32.3;2075.91;2150;145;0.000509127;0.000198413
9.45;2071.16;2225;142;0.000425794;0.000198413
66.05;2064.45;2075;141;0.000538889;0.000198413
37.55;2086.86;2150;140;0.000477778;0.000198413
63.3;2086.86;2100;140;0.000523016;0.000198413
49.65;2086.86;2125;140;0.000501984;0.000198413
7.75;2089.99;2250;139;0.000411111;0.000198413
15.9;2084.58;2200;138;0.000412698;0.000198413
1.7;2031.38;2250;130;0.000395635;0.000198413
23.15;2071.16;2150;113;0.000463492;0.000198413
15.2;2071.16;2175;113;0.000439683;0.000198413
25.55;1948.51;2050;103;0.000627381;0.000198413
103.55;1948.51;1900;103;0.000807143;0.000198413
34.9;1948.51;2025;103;0.000659127;0.000198413
34.45;1987.89;2050;100;0.000604365;0.000198413
14.35;1981.01;2100;99;0.000532937;0.000198413
18.35;1991.76;2100;98;0.000557937;0.000198413
56.4;1992.73;2000;91;0.000611905;0.000198413
8.6;1992.73;2125;91;0.000477778;0.000198413
12.3;2031.6;2130;89;0.000463889;0.000198413
21.55;1948.51;2050;88;0.000574206;0.000198413
0.675;2031.38;2240;86;0.000395238;0.000198413
6.3;2031.38;2150;86;0.000421032;0.000198413
11.65;2030.57;2125;85;0.000453571;0.000198413
62.05;2030.57;2015;85;0.000593254;0.000198413
19.25;2030.57;2100;85;0.000482937;0.000198413
5.1;2030.57;2160;85;0.000420238;0.000198413
1.05;1981.01;2200;84;0.000482937;0.000198413
50.85;2019.02;2025;84;0.000589683;0.000198413
70;2050.29;2025;83;0.00062381;0.000198413
8.8;2075.91;2175;82;0.000420635;0.000198413
15.3;2075.91;2150;82;0.000445238;0.000198413
24.4;2075.91;2125;82;0.000474603;0.000198413
2.25;2014.54;2180;81;0.000375;0.000198413
23;2071.16;2125;79;0.000465476;0.000198413
47.7;2071.16;2075;79;0.00052381;0.000198413
1.575;2071.16;2240;79;0.000385317;0.000198413
60.95;2064.45;2050;78;0.000546429;0.000198413
72.85;1921.42;1910;78;0.000777778;0.000198413
79.1;1921.42;1900;78;0.000788889;0.000198413
4.6;1921.42;2100;78;0.000551587;0.000198413
12.75;1921.42;2050;78;0.000602381;0.000198413
82.2;1921.42;1895;78;0.000794048;0.000198413
75.85;1921.42;1905;78;0.000780159;0.000198413
93.8;1948.51;1900;77;0.00081746;0.000198413
100.7;1948.51;1890;77;0.000830556;0.000198413
77.4;1948.51;1925;77;0.000784524;0.000198413
36.3;1948.51;2000;77;0.000681746;0.000198413
1.15;1948.51;2175;77;0.00050119;0.000198413
62.15;1948.51;1950;77;0.000749603;0.000198413
80.6;1948.51;1920;77;0.00079127;0.000198413
104.2;1948.51;1885;77;0.000836905;0.000198413
74.75;2086.86;2050;77;0.000557143;0.000198413
18.8;2089.99;2150;76;0.00044127;0.000198413
1.7;2089.99;2250;76;0.000380556;0.000198413
1.75;2014.54;2180;75;0.000449206;0.000198413
15.45;2084.58;2150;75;0.000405556;0.000198413
69.05;1987.89;1965;74;0.000692857;0.000198413
63.1;1987.89;1975;74;0.000682937;0.000198413
79;1987.89;1950;74;0.000714286;0.000198413
10.3;1987.89;2100;74;0.000526984;0.000198413
66.25;1987.89;1970;74;0.000690079;0.000198413
16.95;1987.89;2075;74;0.00055873;0.000198413
60.1;1987.89;1980;74;0.000676587;0.000198413
48.8;1987.89;2000;74;0.000652381;0.000198413
72.25;1987.89;1960;74;0.000699206;0.000198413
58.2;1981.01;1975;73;0.000671429;0.000198413
7.75;1981.01;2100;73;0.000498016;0.000198413
61.25;1981.01;1970;73;0.000678571;0.000198413
44.35;1981.01;2000;73;0.000640476;0.000198413
32.35;1981.01;2025;73;0.000611508;0.000198413
61.4;1991.76;1985;72;0.000702381;0.000198413
18.4;1991.76;2075;72;0.000571825;0.000198413
11.45;1991.76;2100;72;0.000540873;0.000198413
64.6;1991.76;1980;72;0.000711111;0.000198413
67.7;1991.76;1975;72;0.000718254;0.000198413
9.1;1991.76;2110;72;0.000526587;0.000198413
52.65;1991.76;2000;72;0.000681746;0.000198413
70.95;1991.76;1970;72;0.00072619;0.000198413
5.1;1991.76;2135;72;0.00050119;0.000198413
70.1;2012.74;1985;71;0.000678175;0.000198413
76.8;2012.74;1975;71;0.000692063;0.000198413
60.4;2012.74;2000;71;0.000655952;0.000198413
11.9;2012.74;2100;71;0.000485317;0.000198413
57.4;2012.74;2005;71;0.000649603;0.000198413
73.4;2012.74;1980;71;0.000684921;0.000198413
24;2012.74;2070;71;0.000554762;0.000198413
59.55;2014.54;2000;70;0.000639286;0.000198413
56.35;2014.54;2005;70;0.000631349;0.000198413
53.45;2014.54;2010;70;0.000625794;0.000198413
44.75;2014.54;2025;70;0.000604365;0.000198413
1.375;2014.54;2180;70;0.00041627;0.000198413
6.95;2014.54;2125;70;0.000465873;0.000198413
1.625;2014.54;2175;70;0.000421825;0.000198413
4.25;2030.57;2150;70;0.000395635;0.000198413
14.95;2030.57;2100;70;0.000462698;0.000198413
13.2;2019.02;2100;69;0.000419048;0.000198413
3.8;2019.02;2150;69;0.000396032;0.000198413
22.5;2050.29;2100;68;0.00041627;0.000198413
54.45;2016.16;2005;67;0.000582143;0.000198413
57.65;2016.16;2000;67;0.000589286;0.000198413
30.6;2075.91;2100;67;0.000382143;0.000198413
51.6;2016.16;2010;67;0.000578175;0.000198413
52.25;2003.02;2000;66;0.000584524;0.000198413
9.55;2003.02;2100;66;0.000463889;0.000198413
46.25;2003.02;2010;66;0.000571032;0.000198413
49.25;2003.02;2005;66;0.000578175;0.000198413
7.4;2003.02;2110;66;0.000453175;0.000198413
26.3;2003.02;2050;66;0.000525;0.000198413
45.6;1992.73;2000;65;0.000597619;0.000198413
7.6;1992.73;2100;65;0.000476984;0.000198413
51.3;1992.73;1990;65;0.000609524;0.000198413
48.45;1992.73;1995;65;0.000603968;0.000198413
54.35;1992.73;1985;65;0.00061627;0.000198413
61;2023.25;2000;64;0.000595238;0.000198413
45.4;2023.25;2025;64;0.000561508;0.000198413
64.35;2023.25;1995;64;0.000601984;0.000198413
51.55;2023.25;2015;64;0.000576587;0.000198413
11.8;2023.25;2100;64;0.000455952;0.000198413
57.75;2023.25;2005;64;0.000588492;0.000198413
54.65;2023.25;2010;64;0.000582937;0.000198413
48.95;2031.6;2025;63;0.000584127;0.000198413
51.95;2031.6;2020;63;0.000590476;0.000198413
13.1;2031.6;2100;63;0.000465873;0.000198413
55.1;2031.6;2015;63;0.000598016;0.000198413
65.15;2031.6;2000;63;0.000622222;0.000198413
0.975;2014.54;2180;62;0.000414683;0.000198413
1.025;2089.99;2250;61;0.000396429;0.000198413
2.6;2075.91;2195;61;0.000386905;0.000198413
49.1;2031.38;2020;60;0.000569444;0.000198413
46;2031.38;2025;60;0.000561905;0.000198413
2.275;2031.38;2150;60;0.000386508;0.000198413
0.55;2031.38;2200;60;0.000387698;0.000198413
2.9;2084.58;2200;60;0.000265873;0.000198413
11.25;2031.38;2100;60;0.000447222;0.000198413
62.4;2031.38;2000;60;0.000602381;0.000198413
52.35;2031.38;2015;60;0.000578175;0.000198413
48.35;2030.57;2020;59;0.000569444;0.000198413
2.625;2030.57;2150;59;0.000403571;0.000198413
45.25;2030.57;2025;59;0.000561508;0.000198413
61.45;2030.57;2000;59;0.000600397;0.000198413
10.2;1987.89;2085;59;0.000559127;0.000198413
42.35;2030.57;2030;59;0.000555159;0.000198413
12.6;1987.89;2075;59;0.000478968;0.000198413
40.15;2019.02;2025;58;0.000572222;0.000198413
0.425;2019.02;2225;58;0.000421429;0.000198413
27.25;2019.02;2050;58;0.000538492;0.000198413
45.9;2019.02;2015;58;0.000586111;0.000198413
55.15;2019.02;2000;58;0.00060754;0.000198413
43;2019.02;2020;58;0.000579365;0.000198413
1.15;2019.02;2175;58;0.000418651;0.000198413
9.75;2019.02;2100;58;0.000471429;0.000198413
3.125;2019.02;2140;58;0.000429762;0.000198413
59.7;2050.29;2025;57;0.000618254;0.000198413
29.3;2050.29;2075;57;0.000530952;0.000198413
24.4;2050.29;2085;57;0.000511111;0.000198413
49.75;2050.29;2040;57;0.000591667;0.000198413
46.5;2050.29;2045;57;0.000581746;0.000198413
52.8;2050.29;2035;57;0.000598016;0.000198413
18.1;2050.29;2100;57;0.000488095;0.000198413
43.45;2050.29;2050;57;0.000573413;0.000198413
5.4;2050.29;2145;57;0.000421825;0.000198413
55.1;2075.91;2050;56;0.000554365;0.000198413
45.3;2075.91;2065;56;0.000530952;0.000198413
48.5;2075.91;2060;56;0.000538889;0.000198413
39.2;2075.91;2075;56;0.000515476;0.000198413
25.8;2075.91;2100;56;0.00048254;0.000198413
42.2;2075.91;2070;56;0.000523016;0.000198413
21.3;2075.91;2110;56;0.000465476;0.000198413
8.05;2075.91;2150;56;0.000414286;0.000198413
15.3;2075.91;2125;56;0.000443651;0.000198413
6;2075.91;2160;56;0.000405159;0.000198413
33.55;2075.91;2085;56;0.000501984;0.000198413
0.325;2075.91;2300;56;0.000436508;0.000198413
2.375;2023.25;2145;56;0.000454365;0.000198413
72.75;2075.91;2025;56;0.000592063;0.000198413
18.35;1987.89;2050;55;0.000541667;0.000198413
42.75;2071.16;2065;53;0.000517063;0.000198413
52.35;2071.16;2050;53;0.000538889;0.000198413
45.85;2071.16;2060;53;0.000524206;0.000198413
23.95;2071.16;2100;53;0.000472619;0.000198413
6.4;2031.38;2110;52;0.000396429;0.000198413
23.3;2031.38;2060;52;0.000575397;0.000198413
49.95;2064.45;2050;52;0.000534524;0.000198413
46.7;2064.45;2055;52;0.000526984;0.000198413
43.65;2064.45;2060;52;0.000521032;0.000198413
18.25;2064.45;2110;52;0.000456746;0.000198413
1.675;2064.45;2195;52;0.000389286;0.000198413
16.4;2064.45;2115;52;0.00045119;0.000198413
47.1;2086.86;2075;51;0.000515476;0.000198413
19.8;2086.86;2125;51;0.000444841;0.000198413
57.15;2086.86;2060;51;0.000536905;0.000198413
11.6;2030.57;2090;51;0.000361905;0.000198413
33.15;2030.57;2040;51;0.000491667;0.000198413
4.8;1981.01;2095;51;0.000498016;0.000198413
16.2;1981.01;2045;51;0.000624206;0.000198413
26.85;2086.86;2110;51;0.000468651;0.000198413
64.2;2086.86;2050;51;0.000550397;0.000198413
10.55;2086.86;2150;51;0.000409127;0.000198413
53.7;2086.86;2065;51;0.000529365;0.000198413
1.65;1981.01;2130;51;0.00046627;0.000198413
50.35;2086.86;2070;51;0.000522222;0.000198413
43.95;2086.86;2080;51;0.00050873;0.000198413
5.1;2086.86;2175;51;0.000386905;0.000198413
15.75;2086.86;2135;51;0.000431349;0.000198413
0.6;2030.57;2190;51;0.000407143;0.000198413
32.05;2086.86;2100;51;0.000480159;0.000198413
42.65;2089.99;2080;50;0.000500397;0.000198413
10.45;2089.99;2150;50;0.000413492;0.000198413
45.8;2089.99;2075;50;0.000507143;0.000198413
0.5;2089.99;2250;50;0.000380159;0.000198413
4.45;1992.73;2100;50;0.000448413;0.000198413
16.35;1992.73;2050;50;0.000461111;0.000198413
31.25;2089.99;2100;50;0.000477381;0.000198413
0.3;2089.99;2300;50;0.000443254;0.000198413
